total 10 set of data.
 Index :0
total Points :41
46.1085 9.79311
6.64784 23.7094
23.973 48.8556
22.8918 20.5707
18.6129 24.7505
3.27199 1.99894
1.48526 8.89349
17.6739 22.7481
6.90059 16.4703
20.3033 48.5741
35.8421 0.0181374
9.69588 1.88501
30.7467 14.3943
34.9436 44.9543
10.8313 29.678
30.8762 46.2223
18.5659 13.6936
38.7894 20.4376
20.8582 32.701
29.035 8.63262
19.9976 42.8045
17.3632 30.1089
6.23018 35.165
19.8873 15.325
21.7872 34.4771
32.2926 16.8431
35.7376 6.77617
36.8338 35.043
32.7753 27.7674
19.7582 43.0615
33.6092 35.7626
3.79899 9.71585
41.2398 4.07112
4.1592 25.1234
4.69961 11.3001
38.5716 2.99642
30.7805 2.15179
26.5895 1.35601
39.6564 9.65681
8.51982 46.0573
12.2248 28.7173

Index :1
total Points :20
16.7719 31.0029
2.98707 32.2476
22.159 34.7427
19.2068 42.5882
31.122 34.1732
30.5665 41.5612
38.9964 18.4644
10.8683 46.5588
22.8764 49.2428
45.2886 36.9258
20.8753 9.22833
34.6839 26.5235
43.878 3.21387
18.1899 27.7464
14.6641 24.1605
16.8968 25.916
9.35316 14.8381
41.1703 0.637255
38.1247 25.0617
16.6587 47.4653

Index :2
total Points :8
23.1405 29.1971
33.1471 35.8569
43.7734 12.3693
40.7146 29.8687
37.1087 12.5955
35.9333 0.217278
44.3631 42.2135
0.765647 23.613

Index :3
total Points :37
16.6515 5.17397
22.7801 20.8725
9.7529 22.9265
0.740387 46.1549
28.6098 17.3149
45.5845 27.9221
3.89531 45.7725
27.9175 48.4612
7.01619 37.9097
47.7864 9.61194
14.4724 22.9329
42.4905 13.7111
32.9663 25.5932
17.5995 19.698
10.9097 35.628
34.7676 1.88533
40.5819 49.4888
33.4202 13.531
31.1579 10.9174
44.0064 42.0928
7.64598 1.2392
38.9317 41.0056
20.6627 13.0884
23.7658 25.2108
18.7357 30.5149
49.8306 3.76172
11.3543 17.0541
38.5372 23.5943
31.0508 47.8915
47.1745 43.9458
31.9785 3.28475
18.676 47.1433
29.9519 45.3257
40.3612 14.4268
11.0149 20.397
6.37782 11.5401
42.227 41.3379

Index :4
total Points :9
37.3425 14.5158
27.8723 9.25714
13.8494 20.675
12.8523 16.5374
37.8585 24.6737
19.1314 27.9878
46.1847 10.5001
46.1339 44.0399
6.63583 43.6497

Index :5
total Points :31
1.05714 30.9569
40.0075 17.1603
7.64382 33.6768
49.2055 34.2599
36.9922 32.7921
4.43365 11.2177
13.1811 22.5083
23.2609 15.544
37.732 26.4065
39.2695 15.7275
41.4793 16.0459
43.4467 12.2295
28.6161 39.3599
40.7744 22.8008
47.4178 18.0521
49.0733 1.64926
45.347 8.93985
24.4725 40.3285
43.1449 33.949
47.0951 45.9541
23.1425 26.7966
21.9716 19.7633
25.8647 39.8912
15.2404 27.2943
46.3911 33.847
46.8792 2.46601
32.4277 20.0847
4.62505 3.55377
38.0043 30.9721
32.1814 38.6221
8.63141 14.6739

Index :6
total Points :19
18.2098 2.42889
28.6219 38.9681
10.2615 15.9266
18.2225 47.6183
20.8214 17.4686
9.72406 20.2793
40.313 39.1396
44.7341 1.57555
7.83838 41.9909
34.9857 16.3077
5.86868 11.3128
21.3373 36.082
22.3785 6.78966
21.3665 7.12058
1.72616 31.6078
43.8337 41.551
48.2421 30.9704
0.824828 21.8162
42.0109 20.8967

Index :7
total Points :6
9.95543 4.09666
1.45956 36.642
35.1464 12.3806
43.1171 49.7534
5.35343 18.1432
25.4023 45.0051

Index :8
total Points :18
2.43078 45.897
15.989 4.16092
47.452 37.7923
12.5072 28.8551
48.6414 38.8969
30.8627 7.23872
5.55475 2.58793
21.3716 36.6356
17.8361 30.8175
24.056 44.9758
5.903 8.60845
40.3688 32.51
16.4442 26.5126
45.5118 6.41235
32.7773 23.0991
46.5131 16.7241
32.1232 48.2908
32.7369 43.3613

Index :9
total Points :30
38.9938 0.690292
19.9765 7.43247
24.6259 33.2323
9.22773 21.1094
16.2578 35.4853
41.2292 16.1129
12.9221 6.86953
34.8123 23.659
40.0614 9.58547
1.16298 39.87
34.0121 34.4743
28.2694 37.8459
37.0516 43.3113
8.17365 13.5192
47.8242 26.341
5.00426 16.8998
9.6909 13.8156
34.7674 11.3531
14.7475 33.6134
5.82479 6.32878
36.8642 18.1002
13.462 20.369
11.6567 42.8581
24.2028 11.2881
29.949 22.2623
32.1587 28.6422
11.1223 18.4144
31.276 37.2179
24.7169 16.2125
15.7511 48.4457

